Отметка времени;Имя;Футбол;Бокс;Хоббихорсинг;Гольф;Крикет;Плавание;Бодибилдинг;Баскетбол;Биатлон;Спортивный квадробинг
2025/03/18 2:40:28 PM GMT+3;Эдуард;2;7;10;6;2;8;1;10;8;7
2025/03/18 2:42:16 PM GMT+3;Залим;9;3;4;6;9;10;7;3;6;8
2025/03/18 2:42:45 PM GMT+3;Аветис;1;7;8;10;3;8;5;8;9;10
2025/03/18 2:43:18 PM GMT+3;Александр;2;8;10;8;4;2;1;6;9;9
2025/03/18 2:44:24 PM GMT+3;Кристина;8;10;10;9;5;6;1;6;1;1
2025/03/18 2:45:03 PM GMT+3;Вика;7;10;1;7;2;4;3;10;3;1
2025/03/18 2:45:30 PM GMT+3;Катя;8;7;10;5;5;7;3;8;6;10
2025/03/18 2:45:42 PM GMT+3;Аветис;5;7;1;5;1;8;7;4;1;1
2025/03/18 2:47:24 PM GMT+3;Ваня;6;3;8;3;9;4;3;7;6;4
2025/03/18 2:47:53 PM GMT+3;Виталий;6;3;4;4;8;5;5;3;7;3
2025/03/18 2:52:16 PM GMT+3;Андрей;2;3;10;1;1;5;7;8;5;10
2025/03/18 2:53:30 PM GMT+3;Кирилл;6;8;10;8;3;4;5;7;3;10
2025/03/18 2:57:08 PM GMT+3;Артем;10;9;1;1;1;7;5;3;5;7
2025/03/18 2:57:22 PM GMT+3;Данил;3;5;2;5;5;6;9;8;6;10
